DATE,Federal Debt ($M),Interest Payment ($M),Interest Rate (%),Inflation (%),Effective Interest Rate (%),GDP ($B),GDP ($M),Debt/GDP (%),Interest/GDP (%)
1987-01-01,2246724,138611,6.16947163959614,3.66456321751691,2.50490842207923,4767.6,4767600.0,47.124842688145,2.9073538048494
1988-01-01,2487551,151803,6.1025080490812,4.07774110744408,2.02476694163712,5138.6,5138600.0,48.4091192153505,2.95417039660608
1989-01-01,2740898,168981,6.16516922556038,4.82700303008949,1.33816619547089,5554.7,5554700.0,49.3437629394927,3.04212648747907
1990-01-01,3051958,184347,6.04028626868391,5.39795643990322,0.64232982878069,5898.8,5898800.0,51.7386248050451,3.12516104970502
1991-01-01,3465189,194448,5.61146881165789,4.23496396453853,1.37650484711936,6093.2,6093200.0,56.8697728615506,3.19122956738659
1992-01-01,3881288,199344,5.13602700959063,3.0288196781497,2.10720733144093,6416.2,6416200.0,60.4920046133225,3.10688569558306
1993-01-01,4230580,198713,4.69706281408223,2.95165696638554,1.74540584769669,6775.3,6775300.0,62.4412203149676,2.9329033400735
1994-01-01,4575869,202932,4.43482975583436,2.6074415921546,1.82738816367976,7176.8,7176800.0,63.7591823653996,2.82761119161743
1995-01-01,4864116,232134,4.77237796138086,2.80541968853655,1.96695827284431,7560.4,7560400.0,64.3367546690651,3.07039310089413
1996-01-01,5117786,241053,4.71010315788898,2.9312041999344,1.77889895795458,7951.3,7951300.0,64.3641417126759,3.03161747135689
1997-01-01,5380890,243984,4.53426849461706,2.33768993730741,2.19657855730965,8451.0,8451000.0,63.6716364927228,2.88704295349663
1998-01-01,5542426,241118,4.35040540009014,1.55227909874362,2.79812630134652,8930.8,8930800.0,62.0596811035965,2.69984771800958
1999-01-01,5651615,229755,4.06529814929007,2.18802719697358,1.87727095231649,9479.4,9479400.0,59.6199653986539,2.42372934995886
2000-01-01,5773392,222949,3.86166399232895,3.37685727149935,0.4848067208296,10117.4,10117400.0,57.0639887718188,2.20361950698796
2001-01-01,5773740,206167,3.57077041917371,2.82617111885402,0.74459930031969,10526.5,10526500.0,54.8495701325227,1.95855222533606
2002-01-01,6006032,170949,2.84628853126324,1.58603162650603,1.26025690475721,10833.6,10833600.0,55.4389307340127,1.57795192733717
2003-01-01,6460776,153073,2.36926647820633,2.27009497336113,0.0991715048452,11283.8,11283800.0,57.2570942413017,1.35657314025417
2004-01-01,7131068,160245,2.24713885774193,2.67723669309173,-0.4300978353498,12025.4,12025400.0,59.3000482312439,1.33255442646398
2005-01-01,7776939,183986,2.36578941920465,3.39274684549547,-1.02695742629082,12834.2,12834200.0,60.5954325162457,1.43356033099063
2006-01-01,8371156,226603,2.70694991229407,3.22594410070407,-0.51899418841,13638.4,13638400.0,61.3793113561708,1.66150721492257
2007-01-01,8849665,237109,2.6792991599117,2.85267248150136,-0.17337332158966,14290.8,14290800.0,61.925609483024,1.65917233464887
2008-01-01,9437594,252757,2.67819319203602,3.83910029665101,-1.16090710461499,14743.3,14743300.0,64.0127651204276,1.7143855174893
2009-01-01,11126941,186902,1.67972491271411,-0.35554626629975,2.03527117901386,14431.8,14431800.0,77.100160756108,1.29507060796297
2010-01-01,12773123,196194,1.53599084577828,1.64004344238989,-0.10405259661161,14838.8,14838800.0,86.0792179960644,1.32216890853708
2011-01-01,14270114,229962,1.61149378344139,3.15684156862206,-1.54534778518067,15403.7,15403700.0,92.6408200627122,1.49290105623973
2012-01-01,15606518,220408,1.41228171460155,2.06933726526059,-0.65705555065904,16056.4,16056400.0,97.1981141476296,1.37271119304452
2013-01-01,16771381,220885,1.31703525189726,1.46483265562714,-0.14779740372988,16603.8,16603800.0,101.009293053397,1.33032799720546
2014-01-01,17601227,228956,1.30079567748317,1.62222297740821,-0.32142729992504,17332.9,17332900.0,101.548079086593,1.32093302332558
2015-01-01,18152056,223181,1.22950810640954,0.118627135552435,1.11088097085711,18090.3,18090300.0,100.341376317695,1.23370535590897
2016-01-01,19264939,240033,1.24595774738762,1.26158320570537,-0.01562545831775,18551.0,18551000.0,103.848520295402,1.29390868416797
2017-01-01,19846420,262551,1.32291365394867,2.13011000365963,-0.80719634971096,19272.2,19272200.0,102.979524911531,1.36233019582611
2018-01-01,21089643,324975,1.54092224320725,2.44258329692818,-0.90166105372093,20235.9,20235900.0,104.218952455784,1.60593302002876
